"site","n_fitted","mass_recovery_pct","v_m_s","D_m2_s","Lambda_1_s","beta","se_v","se_D","se_Lambda","se_beta","resnorm","r2_lin","r2_log"
"A",71,107.570971183013,0.13986729841078,0.0166647250411322,0.142346425026258,1.18298665101962,0.000634098896151888,0.000269923434490335,0.00233652733263133,0.00250706144902756,8.40513030922202e-08,0.999921585774868,0.999492404408079
"B",55,107.468795854398,0.171692824108538,0.0152814818407498,0.14002874811226,1.31234284386178,0.00152832341606328,0.000581842292137247,0.00549337259126545,0.00728471850301857,1.93320500305928e-06,0.999010702381784,0.986634315502861
"C",73,115.870233063701,0.146879966839408,0.02171276735063,0.0870202539084536,1.15561422382063,0.000929649744436876,0.000468376007225781,0.00295181385970484,0.00627351515664908,1.36722899327311e-06,0.998960837039772,0.982524143935487
"D",76,107.698674539939,0.123220676970956,0.0203752903432909,0.0415925190421191,1.06200014062547,0.000444319098589319,0.000274354494991869,0.00136343810679862,0.00673501136873363,1.07204774536587e-06,0.998937537999108,0.988662511733931
